SampleName	genotype	Factin_Sum	Gactin_Sum
phl-dnase-wt_03	WT	155.69436787577396	31.512439113503255
phl-dnase-wt_02	WT	170.25098420175757	30.546342145055114
phl-dnase-wt_01	WT	190.08427830745958	33.04811364741253
phl-dnase-wt_05	WT	196.24653789696416	33.753128027816224
phl-dnase-wt_04	WT	169.31330749112837	30.24058149357259
phl-dnase-wt_06	WT	178.88194981037253	33.87246948164046
phl-dnase-del4nt_04	∆4nt	106.27122101041692	35.29634891634073
phl-dnase-del4nt_01	∆4nt	113.06145863748257	43.07972559636024
phl-dnase-del4nt_02	∆4nt	113.94254997541545	39.84090861972335
phl-dnase-del4nt_03	∆4nt	102.60018343347399	35.17544507991081
phl-dnase-delgene_02	∆gene	84.60618501036987	32.14863942560843
phl-dnase-delgene_03	∆gene	89.50585939241688	34.60175160900342
phl-dnase-delgene_01	∆gene	116.38625828725664	34.690158152300675
phl-dnase-delgene_04	∆gene	107.12945260156857	32.77412165625831
